decimal_time,values,date,value
2002.29,0,2002-04-15,0
2002.35,19.73,2002-05-07,19.73
2002.62,58.44,2002-08-13,-58.44
2002.71,46.28,2002-09-15,46.28
2002.79,64.72,2002-10-15,64.72
2002.87,67.37,2002-11-13,-67.37
2002.96,48.73,2002-12-16,-48.73
2003.04,48.77,2003-01-14,-48.77
2003.12,198.94,2003-02-12,-198.94
2003.2,170.53,2003-03-13,-170.53
2003.29,42.8,2003-04-15,-42.8
2003.36,0.97,2003-05-11,0.97
2003.54,127.5,2003-07-15,-127.5
2003.62,121.43,2003-08-14,-121.43
2003.71,130.34,2003-09-16,-130.34
2003.79,47.48,2003-10-15,-47.48
2003.87,106.32,2003-11-13,-106.32
2003.96,272.07,2003-12-16,-272.07
2004.02,329.01,2004-01-07,-329.01
2004.13,491.04,2004-02-16,-491.04
2004.21,340.57,2004-03-16,-340.57
2004.29,386.12,2004-04-14,-386.12
2004.37,155.42,2004-05-14,-155.42
2004.46,187.58,2004-06-16,-187.58
2004.54,313.15,2004-07-15,-313.15
2004.62,165.94,2004-08-13,-165.94
2004.71,160.72,2004-09-15,-160.72
2004.79,85.31,2004-10-14,-85.31
2004.87,225.74,2004-11-12,-225.74
2004.96,305.48,2004-12-15,-305.48
2005.04,393.96,2005-01-13,-393.96
2005.12,454.93,2005-02-12,-454.93
2005.2,404.87,2005-03-13,-404.87
2005.29,250.98,2005-04-15,-250.98
2005.37,228.15,2005-05-14,-228.15
2005.46,203.56,2005-06-16,-203.56
2005.54,158.83,2005-07-15,-158.83
2005.62,208.9,2005-08-13,-208.9
2005.71,112.7,2005-09-15,-112.7
2005.79,105.69,2005-10-14,-105.69
2005.87,58.65,2005-11-13,-58.65
2005.96,159.25,2005-12-15,-159.25
2006.04,224.71,2006-01-14,-224.71
2006.12,318.2,2006-02-12,-318.2
2006.2,182.16,2006-03-13,-182.16
2006.29,157.89,2006-04-15,-157.89
2006.37,80.84,2006-05-14,-80.84
2006.45,48.59,2006-06-12,-48.59
2006.54,98.21,2006-07-15,-98.21
2006.62,8.1,2006-08-13,-8.1
2006.71,19.92,2006-09-15,-19.92
2006.79,96.04,2006-10-15,-96.04
2006.87,89.73,2006-11-13,-89.73
2006.96,234.38,2006-12-16,-234.38
2007.04,438.62,2007-01-14,-438.62
2007.12,429.78,2007-02-12,-429.78
2007.2,360.38,2007-03-13,-360.38
2007.29,336.07,2007-04-15,-336.07
2007.37,179.01,2007-05-14,-179.01
2007.45,191.29,2007-06-13,-191.29
2007.54,267.93,2007-07-15,-267.93
2007.62,230.03,2007-08-14,-230.03
2007.71,156.8,2007-09-16,-156.8
2007.79,245.57,2007-10-15,-245.57
2007.87,438.23,2007-11-13,-438.23
2007.96,520.66,2007-12-16,-520.66
2008.04,729.67,2008-01-14,-729.67
2008.12,607.9,2008-02-12,-607.9
2008.21,740.65,2008-03-16,-740.65
2008.29,561.63,2008-04-14,-561.63
2008.37,473.75,2008-05-14,-473.75
2008.46,558,2008-06-16,-558
2008.54,651.64,2008-07-15,-651.64
2008.62,603.12,2008-08-13,-603.12
2008.71,442.33,2008-09-15,-442.33
2008.79,533.68,2008-10-14,-533.68
2008.87,520.02,2008-11-12,-520.02
2008.96,624.15,2008-12-15,-624.15
2009.04,706.6,2009-01-13,-706.6
2009.12,681.05,2009-02-12,-681.05
2009.2,616.92,2009-03-13,-616.92
2009.29,579.47,2009-04-15,-579.47
2009.37,553.26,2009-05-14,-553.26
2009.46,540.24,2009-06-16,-540.24
2009.54,435.91,2009-07-15,-435.91
2009.62,466.47,2009-08-13,-466.47
