Year,valueA,GMSL variation (mm) with GIA,Smoothed GMSL variation (mm) with GIA,Year
33972,-38.59,-38.59,-38.57,1993.010267
33982,-41.97,-41.97,-39.11,1993.037645
33992,-41.93,-41.91,-38.58,1993.065024
34002,-42.67,-42.65,-38.34,1993.092402
34012,-37.86,-37.83,-37.21,1993.119781
34022,-36.09,-36.05,-35.98,1993.147159
34031,-36.11,-36.06,-34.94,1993.1718
34041,-35.52,-35.47,-34.19,1993.199179
34051,-35.47,-35.41,-33.72,1993.226557
34061,-39.25,-39.19,-33.48,1993.253936
34071,-37.52,-37.45,-33.38,1993.281314
34081,-34.52,-34.45,-33.41,1993.308693
34091,-36.63,-36.55,-33.54,1993.336071
34101,-38.8,-38.71,-33.48,1993.36345
34111,-40.23,-40.13,-33.59,1993.390828
34121,-38.32,-38.21,-33.19,1993.418207
34131,-36.03,-35.92,-33.02,1993.445585
34141,-35.22,-35.1,-32.87,1993.472964
34151,-35.38,-35.26,-33.01,1993.500342
34160,-35.8,-35.68,-33.37,1993.524983
34170,-28.46,-28.32,-33.72,1993.552361
34180,-35.66,-35.52,-33.92,1993.57974
34190,-34.13,-33.99,-34.04,1993.607118
34200,-30.27,-30.11,-34.22,1993.634497
34210,-29.77,-29.61,-34.39,1993.661875
34220,-30.53,-30.36,-34.59,1993.689254
34230,-31.98,-31.81,-34.76,1993.716632
34240,-28.81,-28.62,-34.59,1993.744011
34250,-26.59,-26.4,-34.49,1993.771389
34260,-29.34,-29.15,-34.58,1993.798768
34270,-30.93,-30.73,-34.91,1993.826146
34280,-31.5,-31.3,-35.16,1993.853525
34289,-32.46,-32.25,-34.96,1993.878166
34299,-34.31,-34.09,-34.25,1993.905544
34309,-32.26,-32.03,-33.24,1993.932923
34319,-28.36,-28.13,-32.24,1993.960301
34329,-31.13,-30.89,-31.77,1993.98768
34339,-33.32,-33.08,-31.2,1994.015058
34349,-30.86,-30.61,-30.96,1994.042437
34359,-29.3,-29.04,-31.26,1994.069815
34369,-34.1,-33.83,-31.78,1994.097194
34379,-37.41,-37.14,-32.16,1994.124572
34389,-36.79,-36.51,-32.05,1994.151951
34399,-32.25,-31.97,-31.27,1994.179329
34409,-35.24,-34.94,-30.16,1994.206708
34418,-28.68,-28.38,-29.29,1994.231348
34428,-31.92,-31.61,-29.02,1994.258727
34438,-31.69,-31.37,-29.42,1994.286105
34448,-33.3,-32.98,-29.66,1994.313484
34458,-34.61,-34.28,-30.16,1994.340862
34468,-35.19,-34.86,-30.39,1994.368241
34478,-37.93,-37.59,-30.83,1994.395619
34488,-35.46,-35.11,-30.94,1994.422998
34498,-32.61,-32.26,-31.04,1994.450376
34508,-40.32,-39.96,-31.16,1994.477755
34518,-38.58,-38.21,-31.24,1994.505133
34528,-32.81,-32.43,-31.26,1994.532512
34538,-31.46,-31.08,-31.29,1994.55989
34547,-31.34,-30.95,-31.33,1994.584531
34557,-31.67,-31.28,-31.33,1994.61191
34567,-28.87,-28.47,-31.31,1994.639288
34577,-27.01,-26.6,-31.25,1994.666667
34587,-25.38,-24.97,-31.01,1994.694045
34597,-26.17,-25.76,-30.93,1994.721424
34607,-27.1,-26.68,-30.8,1994.748802
34617,-25.56,-25.13,-30.58,1994.776181
34627,-23.37,-22.93,-30.38,1994.803559
34637,-25.62,-25.17,-30.39,1994.830938
34647,-20.02,-19.56,-30.6,1994.858316
34657,-28.39,-27.93,-30.58,1994.885695
34667,-32.11,-31.64,-29.95,1994.913073
34676,-27.84,-27.37,-28.75,1994.937714
34686,-25.98,-25.5,-27.39,1994.965092
34696,-24.93,-24.44,-26.56,1994.992471
34706,-24.72,-24.23,-26.03,1995.019849
34716,-27.59,-27.09,-25.78,1995.047228
34726,-25.26,-24.75,-26.29,1995.074606
34736,-30.47,-29.96,-26.89,1995.101985
34746,-34.04,-33.53,-27.23,1995.129363
34756,-28.91,-28.38,-26.91,1995.156742
34766,-29,-28.47,-26.64,1995.18412
34776,-23.91,-23.37,-26.36,1995.211499
34786,-30.6,-30.05,-26.44,1995.238877
