time	antarctic mass		antartic mass 1-sigma
2002.29		0.00     		178.90
2002.35      	19.73     		102.47
2002.62     	-58.44      		83.09
2002.71      	46.28      		97.19
2002.79      	64.72      		61.82
2002.87     	-67.37      		58.68
2002.96     	-48.73      		59.19
2003.04     	-48.77      		64.73
2003.12    	-198.94      		48.10
2003.20    	-170.53      		42.95
2003.29     	-42.80      		43.58
2003.36       	0.97      		48.24
2003.54    	-127.50      		37.86
2003.62    	-121.43      		39.87
2003.71    	-130.34      		39.61
2003.79     	-47.48      		40.19
2003.87    	-106.32      		40.89
2003.96    	-272.07      		39.82
2004.02    	-329.01      		43.72
2004.13    	-491.04      		40.46
2004.21    	-340.57      		37.97
2004.29    	-386.12      		37.56
2004.37    	-155.42      		38.36
2004.46    	-187.58      		37.47
2004.54    	-313.15      		34.08
2004.62    	-165.94      		35.44
2004.71    	-160.72      		36.20
2004.79    	 -85.31      		33.33
2004.87    	-225.74      		36.02
2004.96    	-305.48      		35.33
2005.04    	-393.96      		33.76
2005.12    	-454.93      		35.22
2005.20    	-404.87      		34.97
2005.29    	-250.98      		34.30
2005.37    	-228.15      		35.04
2005.46    	-203.56      		35.16
2005.54    	-158.83      		33.88
2005.62    	-208.90      		34.19
2005.71    	-112.70      		33.91
2005.79    	-105.69      		33.17
2005.87    	 -58.65      		33.08
2005.96    	-159.25      		38.45
2006.04   	 -224.71      		34.46
2006.12    	-318.20      		35.03
2006.20    	-182.16      		35.19
2006.29    	-157.89      		35.23
2006.37    	 -80.84      		35.51
2006.45    	 -48.59     		37.90
2006.54     	-98.21     		37.37
2006.62      	-8.10      		36.14
2006.71     	-19.92      		37.96
2006.79     	-96.04      		37.00
2006.87    	-89.73      		36.85
2006.96    	-234.38      		37.92
2007.04    	-438.62      		38.38
2007.12    	-429.78      		37.94
2007.20    	-360.38      		37.66
2007.29    	-336.07      		37.77
2007.37    	-179.01      		37.57
2007.45    	-191.29      		38.38
2007.54    	-267.93      		37.52
2007.62    	-230.03      		39.45
2007.71    	-156.80      		39.17
2007.79    	-245.57      		39.51
2007.87    	-438.23      		40.82
2007.96    	-520.66      		39.77
2008.04    	-729.67      		39.43
2008.12    	-607.90      		41.45
2008.21    	-740.65      		40.25
2008.29    	-561.63      		42.17
2008.37    	-473.75     		40.75
2008.46    	-558.00     		40.38
2008.54    	-651.64      		40.84
2008.62    	-603.12      		40.15
2008.71    	-442.33      		40.44
2008.79    	-533.68      		39.48
2008.87    	-520.02      		40.89
2008.96    	-624.15      		40.43
2009.04    	-706.60      		39.60
2009.12    	-681.05      		39.72
2009.20    	-616.92      		39.33
2009.29    	-579.47      		36.58
2009.37    	-553.26     		35.97
2009.46    	-540.24      		35.73
2009.54    	-435.91      		36.75
2009.62    	-466.47      		34.71
2009.71    	-480.59      		33.67
2009.79    	-534.14      		33.92
2009.87    	-521.04      		33.46
2009.96    	-631.35      		33.43
2010.04   	 -802.23      		33.03
2010.12    	-806.77      		32.76
2010.20   	-687.46      		34.51
2010.29    	-759.04      		32.20
2010.37    	-780.16      		32.63
2010.45    	-793.86      		38.44
2010.54    	-997.07      		35.63
2010.62    	-925.65      		34.62
2010.71    	-847.51      		36.40
2010.79    	-878.96      		38.44
2010.87    	-899.83      		39.59
2010.95    	-912.28      		40.67
2011.13   	-1001.60      		43.16
2011.20   	-1017.45      		41.62
2011.29   	-1030.00      		41.22
2011.37    	-964.60      		40.16
2011.54    	-909.81      		42.75
2011.62    	-926.16      		40.50
2011.71    	-837.84      		39.71
2011.79    	-884.41      		38.98
2011.83    	-879.83     		39.28
2012.00   	-1147.42      		39.05
2012.04   	-1077.52      		37.63
2012.12   	-1140.59      		38.79
2012.21   	-1118.23      		37.12
2012.26   	-1056.20      		43.32
2012.46   	-1094.36      		39.99
2012.54   	-1061.10      		38.80
2012.62    	-981.68      		37.70
2012.70    	-946.43      		41.16
2012.88   	-1068.05      		41.62
2012.96   	-1117.05      		39.53
2013.04   	-1287.14      		38.98
2013.12   	-1395.01      		40.16
2013.30   	-1134.89      		41.36
2013.37   	-1238.18      		37.57
2013.46   	-1246.34      		38.44
2013.54   	-1207.97      		37.79
2013.79   	-1298.87      		38.01
2013.87   	-1346.98      		36.03
2013.96   	-1397.62      		35.45
2014.02   	-1503.82      		40.12
2014.20   	-1614.76      		32.35
2014.29   	-1535.08      		33.19
2014.37   	-1441.48      		33.14
2014.45   	-1484.42      		35.04
2014.62   	-1533.00      		33.51
2014.71   	-1360.36      		33.00
2014.79   	-1449.55      		31.99
2014.88   	-1525.51      		31.56
2015.06   	-1827.04      		35.31
2015.12  	-1902.84      		56.93
2015.20   	-1873.02      		30.75
2015.29   	-1851.03      		32.24
2015.32   	-1777.60      		34.83
2015.53   	-1743.12      		37.19
2015.62   	-1896.64      		34.62
2015.70   	-1848.65      		36.97
2015.98   	-1893.05      		36.86
2016.04   	-1916.89      		35.36
2016.12   	-1992.94      		34.10
2016.21   	-1927.86      		35.08
2016.38   	-1790.27      		37.40
2016.46   	-1774.14      		34.44
2016.54   	-1654.36      		34.27
2016.64   	-1599.56      		36.53
2016.91   	-1670.09      		61.29
2016.98   	-1584.90      		61.17
2017.06   	-1603.61      		60.60
2017.25   	-1928.53      		61.91
2017.31   	-1848.29      		61.28
2017.36   	-1813.23      		59.90
2017.44   	-1811.47      		59.83
2018.45  	-1982.26      		35.10
2018.52  	-1997.43      		31.43
2018.83   	-2256.70      		30.30
2018.87   	-2221.77      		28.20
2018.96   	-2274.91      		27.41
2019.04  	-2365.66      		27.15
2019.12   	-2408.78      		27.11
2019.20   	-2312.77      		26.87
2019.29   	-2132.28      		26.88
2019.37   	-2184.47      		26.79
2019.45   	-2276.91      		26.75
2019.54   	-2181.42      		26.79
2019.62   	-2226.93      		26.79
2019.71   	-2102.82      		26.85
2019.79   	-2285.81      		27.53
2019.87   	-2346.76      		28.19
2019.96   	-2393.14      		28.95
2020.04   	-2702.46      		30.08
2020.12   	-2808.11      		30.99
2020.21   	-2628.32      		31.51
2020.29   	-2535.70      		32.48
2020.37   	-2457.06      		33.33
2020.46   	-2423.60     		39.38
2020.54  	-2355.72      		46.71
2020.62   	-2247.40      		54.81
2020.71   	-2436.39      		63.49 
