"date,antarctic,mass, decimal time"
"15/4/2002,0,178.9,2002.29"
"7/5/2002,19.73,102.47,2002.35"
"13/8/2002,-58.44,83.09,2002.62"
"15/9/2002,46.28,97.19,2002.71"
"15/10/2002,64.72,61.82,2002.79"
"13/11/2002,-67.37,58.68,2002.87"
"16/12/2002,-48.73,59.19,2002.96"
"14/1/2003,-48.77,64.73,2003.04"
"12/2/2003,-198.94,48.1,2003.12"
"13/3/2003,-170.53,42.95,2003.2"
"15/4/2003,-42.8,43.58,2003.29"
"11/5/2003,0.97,48.24,2003.36"
"15/7/2003,-127.5,37.86,2003.54"
"14/8/2003,-121.43,39.87,2003.62"
"16/9/2003,-130.34,39.61,2003.71"
"15/10/2003,-47.48,40.19,2003.79"
"13/11/2003,-106.32,40.89,2003.87"
"16/12/2003,-272.07,39.82,2003.96"
"7/1/2004,-329.01,43.72,2004.02"
"16/2/2004,-491.04,40.46,2004.13"
"16/3/2004,-340.57,37.97,2004.21"
"14/4/2004,-386.12,37.56,2004.29"
"14/5/2004,-155.42,38.36,2004.37"
"16/6/2004,-187.58,37.47,2004.46"
"15/7/2004,-313.15,34.08,2004.54"
"13/8/2004,-165.94,35.44,2004.62"
"15/9/2004,-160.72,36.2,2004.71"
"14/10/2004,-85.31,33.33,2004.79"
"12/11/2004,-225.74,36.02,2004.87"
"15/12/2004,-305.48,35.33,2004.96"
"13/1/2005,-393.96,33.76,2005.04"
"12/2/2005,-454.93,35.22,2005.12"
"13/3/2005,-404.87,34.97,2005.2"
"15/4/2005,-250.98,34.3,2005.29"
"14/5/2005,-228.15,35.04,2005.37"
"16/6/2005,-203.56,35.16,2005.46"
"15/7/2005,-158.83,33.88,2005.54"
"13/8/2005,-208.9,34.19,2005.62"
"15/9/2005,-112.7,33.91,2005.71"
"14/10/2005,-105.69,33.17,2005.79"
"13/11/2005,-58.65,33.08,2005.87"
"15/12/2005,-159.25,38.45,2005.96"
"14/1/2006,-224.71,34.46,2006.04"
"12/2/2006,-318.2,35.03,2006.12"
"13/3/2006,-182.16,35.19,2006.2"
"15/4/2006,-157.89,35.23,2006.29"
"14/5/2006,-80.84,35.51,2006.37"
"12/6/2006,-48.59,37.9,2006.45"
"15/7/2006,-98.21,37.37,2006.54"
"13/8/2006,-8.1,36.14,2006.62"
"15/9/2006,-19.92,37.96,2006.71"
"15/10/2006,-96.04,37,2006.79"
"13/11/2006,-89.73,36.85,2006.87"
"16/12/2006,-234.38,37.92,2006.96"
"14/1/2007,-438.62,38.38,2007.04"
"12/2/2007,-429.78,37.94,2007.12"
"13/3/2007,-360.38,37.66,2007.2"
"15/4/2007,-336.07,37.77,2007.29"
"14/5/2007,-179.01,37.57,2007.37"
"13/6/2007,-191.29,38.38,2007.45"
"15/7/2007,-267.93,37.52,2007.54"
"14/8/2007,-230.03,39.45,2007.62"
"16/9/2007,-156.8,39.17,2007.71"
"15/10/2007,-245.57,39.51,2007.79"
"13/11/2007,-438.23,40.82,2007.87"
"16/12/2007,-520.66,39.77,2007.96"
"14/1/2008,-729.67,39.43,2008.04"
"12/2/2008,-607.9,41.45,2008.12"
"16/3/2008,-740.65,40.25,2008.21"
"14/4/2008,-561.63,42.17,2008.29"
"14/5/2008,-473.75,40.75,2008.37"
"16/6/2008,-558,40.38,2008.46"
"15/7/2008,-651.64,40.84,2008.54"
"13/8/2008,-603.12,40.15,2008.62"
"15/9/2008,-442.33,40.44,2008.71"
"14/10/2008,-533.68,39.48,2008.79"
"12/11/2008,-520.02,40.89,2008.87"
"15/12/2008,-624.15,40.43,2008.96"
"13/1/2009,-706.6,39.6,2009.04"
"12/2/2009,-681.05,39.72,2009.12"
"13/3/2009,-616.92,39.33,2009.2"
"15/4/2009,-579.47,36.58,2009.29"
"14/5/2009,-553.26,35.97,2009.37"
"16/6/2009,-540.24,35.73,2009.46"
"15/7/2009,-435.91,36.75,2009.54"
"13/8/2009,-466.47,34.71,2009.62"
"15/9/2009,-480.59,33.67,2009.71"
"14/10/2009,-534.14,33.92,2009.79"
"13/11/2009,-521.04,33.46,2009.87"
"15/12/2009,-631.35,33.43,2009.96"
"14/1/2010,-802.23,33.03,2010.04"
"12/2/2010,-806.77,32.76,2010.12"
"13/3/2010,-687.46,34.51,2010.2"
"15/4/2010,-759.04,32.2,2010.29"
"14/5/2010,-780.16,32.63,2010.37"
"12/6/2010,-793.86,38.44,2010.45"
"15/7/2010,-997.07,35.63,2010.54"
"13/8/2010,-925.65,34.62,2010.62"
"15/9/2010,-847.51,36.4,2010.71"
"15/10/2010,-878.96,38.44,2010.79"
"13/11/2010,-899.83,39.59,2010.87"
"12/12/2010,-912.28,40.67,2010.95"
"16/2/2011,-1001.6,43.16,2011.13"
"13/3/2011,-1017.45,41.62,2011.2"
"15/4/2011,-1030,41.22,2011.29"
"14/5/2011,-964.6,40.16,2011.37"
"15/7/2011,-909.81,42.75,2011.54"
"14/8/2011,-926.16,40.5,2011.62"
"16/9/2011,-837.84,39.71,2011.71"
"15/10/2011,-884.41,38.98,2011.79"
"29/10/2011,-879.83,39.28,2011.83"
"31/12/2011,-1147.42,39.05,2012"
"14/1/2012,-1077.52,37.63,2012.04"
"12/2/2012,-1140.59,38.79,2012.12"
"16/3/2012,-1118.23,37.12,2012.21"
"3/4/2012,-1056.2,43.32,2012.26"
"16/6/2012,-1094.36,39.99,2012.46"
"15/7/2012,-1061.1,38.8,2012.54"
"13/8/2012,-981.68,37.7,2012.62"
