year  month       ,average     ,alized         
1/3/1958,315.7,314.43
1/4/1958,317.45,315.16
1/5/1958,317.51,314.71
1/6/1958,317.24,315.14
1/7/1958,315.86,315.18
1/8/1958,314.93,316.18
1/9/1958,313.2,316.08
1/10/1958,312.43,315.41
1/11/1958,313.33,315.2
1/12/1958,314.67,315.43
1/1/1959,315.58,315.55
1/2/1959,316.48,315.86
1/3/1959,316.65,315.38
1/4/1959,317.72,315.41
1/5/1959,318.29,315.49
1/6/1959,318.15,316.03
1/7/1959,316.54,315.86
1/8/1959,314.8,316.06
1/9/1959,313.84,316.73
1/10/1959,313.33,316.33
1/11/1959,314.81,316.68
1/12/1959,315.58,316.35
1/1/1960,316.43,316.4
1/2/1960,316.98,316.36
1/3/1960,317.58,316.28
1/4/1960,319.03,316.7
1/5/1960,320.04,317.22
1/6/1960,319.59,317.47
1/7/1960,318.18,317.52
1/8/1960,315.9,317.19
1/9/1960,314.17,317.08
1/10/1960,313.83,316.83
1/11/1960,315,316.88
1/12/1960,316.19,316.96
1/1/1961,316.89,316.86
1/2/1961,317.7,317.08
1/3/1961,318.54,317.26
1/4/1961,319.48,317.16
1/5/1961,320.58,317.76
1/6/1961,319.77,317.63
1/7/1961,318.57,317.88
1/8/1961,316.79,318.06
1/9/1961,314.99,317.9
1/10/1961,315.31,318.32
1/11/1961,316.1,317.99
1/12/1961,317.01,317.79
1/1/1962,317.94,317.91
1/2/1962,318.55,317.92
1/3/1962,319.68,318.39
1/4/1962,320.57,318.24
1/5/1962,321.02,318.18
1/6/1962,320.62,318.47
1/7/1962,319.61,318.92
1/8/1962,317.4,318.68
1/9/1962,316.25,319.17
1/10/1962,315.42,318.45
1/11/1962,316.69,318.58
1/12/1962,317.7,318.47
1/1/1963,318.74,318.7
1/2/1963,319.07,318.44
1/3/1963,319.86,318.57
1/4/1963,321.38,319.05
1/5/1963,322.25,319.4
1/6/1963,321.48,319.32
1/7/1963,319.74,319.05
1/8/1963,317.77,319.05
1/9/1963,316.21,319.14
1/10/1963,315.99,319.02
1/11/1963,317.07,318.97
1/12/1963,318.35,319.13
1/1/1964,319.57,319.54
1/2/1964,320.01,319.37
1/3/1964,320.74,319.41
1/4/1964,321.84,319.45
1/5/1964,322.26,319.4
1/6/1964,321.89,319.75
1/7/1964,320.44,319.77
1/8/1964,318.69,320
1/9/1964,316.7,319.66
1/10/1964,316.87,319.91
1/11/1964,317.68,319.58
1/12/1964,318.71,319.49
1/1/1965,319.44,319.4
1/2/1965,320.44,319.81
1/3/1965,320.89,319.59
1/4/1965,322.14,319.78
1/5/1965,322.17,319.3
1/6/1965,321.87,319.7
1/7/1965,321.21,320.51
1/8/1965,318.87,320.15
1/9/1965,317.81,320.77
1/10/1965,317.3,320.36
1/11/1965,318.87,320.78
1/12/1965,319.42,320.2
1/1/1966,320.62,320.59
1/2/1966,321.6,320.96
1/3/1966,322.39,321.08
1/4/1966,323.7,321.34
1/5/1966,324.08,321.2
1/6/1966,323.75,321.57
1/7/1966,322.38,321.68
1/8/1966,320.36,321.65
1/9/1966,318.64,321.6
1/10/1966,318.1,321.17
1/11/1966,319.78,321.7
1/12/1966,321.03,321.81
1/1/1967,322.33,322.29
1/2/1967,322.5,321.86
1/3/1967,323.04,321.73
1/4/1967,324.42,322.04
1/5/1967,325,322.12
1/6/1967,324.09,321.91
1/7/1967,322.54,321.84
1/8/1967,320.92,322.21
1/9/1967,319.25,322.23
1/10/1967,319.39,322.47
1/11/1967,320.73,322.65
1/12/1967,321.96,322.75
1/1/1968,322.57,322.54
1/2/1968,323.15,322.51
1/3/1968,323.89,322.55
1/4/1968,325.02,322.62
1/5/1968,325.57,322.68
1/6/1968,325.36,323.19
1/7/1968,324.14,323.46
1/8/1968,322.11,323.43
1/9/1968,320.33,323.32
1/10/1968,320.25,323.33
1/11/1968,321.32,323.25
1/12/1968,322.89,323.69
1/1/1969,324,323.97
1/2/1969,324.42,323.77
1/3/1969,325.63,324.31
1/4/1969,326.66,324.27
1/5/1969,327.38,324.48
1/6/1969,326.71,324.51
1/7/1969,325.88,325.17
1/8/1969,323.66,324.97
1/9/1969,322.38,325.37
1/10/1969,321.78,324.88
1/11/1969,322.86,324.79
1/12/1969,324.12,324.91
1/1/1970,325.06,325.03
1/2/1970,325.98,325.34
1/3/1970,326.93,325.61
1/4/1970,328.13,325.74
1/5/1970,328.08,325.16
1/6/1970,327.67,325.46
1/7/1970,326.34,325.63
1/8/1970,324.69,325.99
1/9/1970,323.1,326.1
1/10/1970,323.06,326.18
1/11/1970,324.01,325.95
1/12/1970,325.13,325.93
1/1/1971,326.17,326.14
1/2/1971,326.68,326.03
1/3/1971,327.17,325.85
1/4/1971,327.79,325.38
1/5/1971,328.93,326
1/6/1971,328.57,326.36
1/7/1971,327.36,326.65
1/8/1971,325.43,326.74
1/9/1971,323.36,326.37
1/10/1971,323.56,326.69
1/11/1971,324.8,326.75
1/12/1971,326.01,326.82
1/1/1972,326.77,326.73
1/2/1972,327.63,326.98
1/3/1972,327.75,326.39
1/4/1972,329.72,327.29
1/5/1972,330.07,327.14
1/6/1972,329.09,326.88
1/7/1972,328.04,327.36
1/8/1972,326.32,327.67
1/9/1972,324.84,327.87
1/10/1972,325.2,328.33
1/11/1972,326.5,328.45
1/12/1972,327.55,328.36
1/1/1973,328.55,328.51
1/2/1973,329.56,328.91
1/3/1973,330.3,328.96
1/4/1973,331.5,329.08
1/5/1973,332.48,329.54
1/6/1973,332.07,329.84
1/7/1973,330.87,330.15
1/8/1973,329.31,330.63
1/9/1973,327.51,330.55
1/10/1973,327.18,330.32
