 year  month       average     alized         
 1958    3         315.70      314.43        
 1958    4         317.45      315.16          
 1958    5         317.51      314.71     
 1958    6         317.24      315.14     
 1958    7         315.86      315.18     
 1958    8         314.93      316.18     
 1958    9         313.20      316.08     
 1958   10         312.43      315.41     
 1958   11         313.33      315.20     
 1958   12         314.67      315.43     
 1959    1         315.58      315.55     
 1959    2         316.48      315.86     
 1959    3         316.65      315.38     
 1959    4         317.72      315.41     
 1959    5         318.29      315.49     
 1959    6         318.15      316.03     
 1959    7         316.54      315.86     
 1959    8         314.80      316.06     
 1959    9         313.84      316.73     
 1959   10         313.33      316.33     
 1959   11         314.81      316.68     
 1959   12         315.58      316.35     
 1960    1         316.43      316.40     
 1960    2         316.98      316.36     
 1960    3         317.58      316.28     
 1960    4         319.03      316.70     
 1960    5         320.04      317.22     
 1960    6         319.59      317.47     
 1960    7         318.18      317.52     
 1960    8         315.90      317.19     
 1960    9         314.17      317.08     
 1960   10         313.83      316.83     
 1960   11         315.00      316.88     
 1960   12         316.19      316.96     
 1961    1         316.89      316.86     
 1961    2         317.70      317.08     
 1961    3         318.54      317.26     
 1961    4         319.48      317.16     
 1961    5         320.58      317.76     
 1961    6         319.77      317.63     
 1961    7         318.57      317.88     
 1961    8         316.79      318.06     
 1961    9         314.99      317.90     
 1961   10         315.31      318.32     
 1961   11         316.10      317.99     
 1961   12         317.01      317.79     
 1962    1         317.94      317.91     
 1962    2         318.55      317.92     
 1962    3         319.68      318.39     
 1962    4         320.57      318.24     
 1962    5         321.02      318.18     
 1962    6         320.62      318.47     
 1962    7         319.61      318.92     
 1962    8         317.40      318.68     
 1962    9         316.25      319.17     
 1962   10         315.42      318.45     
 1962   11         316.69      318.58     
 1962   12         317.70      318.47     
 1963    1         318.74      318.70     
 1963    2         319.07      318.44     
 1963    3         319.86      318.57     
 1963    4         321.38      319.05     
 1963    5         322.25      319.40     
 1963    6         321.48      319.32     
 1963    7         319.74      319.05     
 1963    8         317.77      319.05     
 1963    9         316.21      319.14     
 1963   10         315.99      319.02     
 1963   11         317.07      318.97     
 1963   12         318.35      319.13     
 1964    1         319.57      319.54     
 1964    2         320.01      319.37     
 1964    3         320.74      319.41     
 1964    4         321.84      319.45     
 1964    5         322.26      319.40     
 1964    6         321.89      319.75     
 1964    7         320.44      319.77     
 1964    8         318.69      320.00     
 1964    9         316.70      319.66     
 1964   10         316.87      319.91     
 1964   11         317.68      319.58     
 1964   12         318.71      319.49     
 1965    1         319.44      319.40     
 1965    2         320.44      319.81     
 1965    3         320.89      319.59     
 1965    4         322.14      319.78     
 1965    5         322.17      319.30     
 1965    6         321.87      319.70     
 1965    7         321.21      320.51     
 1965    8         318.87      320.15     
 1965    9         317.81      320.77     
 1965   10         317.30      320.36     
 1965   11         318.87      320.78     
 1965   12         319.42      320.20     
 1966    1         320.62      320.59     
 1966    2         321.60      320.96     
 1966    3         322.39      321.08     
 1966    4         323.70      321.34     
 1966    5         324.08      321.20     
 1966    6         323.75      321.57     
 1966    7         322.38      321.68     
 1966    8         320.36      321.65     
 1966    9         318.64      321.60     
 1966   10         318.10      321.17     
 1966   11         319.78      321.70     
 1966   12         321.03      321.81     
 1967    1         322.33      322.29     
 1967    2         322.50      321.86     
 1967    3         323.04      321.73     
 1967    4         324.42      322.04     
 1967    5         325.00      322.12     
 1967    6         324.09      321.91     
 1967    7         322.54      321.84     
 1967    8         320.92      322.21     
 1967    9         319.25      322.23     
 1967   10         319.39      322.47     
 1967   11         320.73      322.65     
 1967   12         321.96      322.75     
 1968    1         322.57      322.54     
 1968    2         323.15      322.51     
 1968    3         323.89      322.55     
 1968    4         325.02      322.62     
 1968    5         325.57      322.68     
 1968    6         325.36      323.19     
 1968    7         324.14      323.46     
 1968    8         322.11      323.43     
 1968    9         320.33      323.32     
 1968   10         320.25      323.33     
 1968   11         321.32      323.25     
 1968   12         322.89      323.69     
 1969    1         324.00      323.97     
 1969    2         324.42      323.77     
 1969    3         325.63      324.31     
 1969    4         326.66      324.27     
 1969    5         327.38      324.48     
 1969    6         326.71      324.51     
 1969    7         325.88      325.17     
 1969    8         323.66      324.97     
 1969    9         322.38      325.37     
 1969   10         321.78      324.88     
 1969   11         322.86      324.79     
 1969   12         324.12      324.91     
 1970    1         325.06      325.03     
 1970    2         325.98      325.34     
 1970    3         326.93      325.61     
 1970    4         328.13      325.74     
 1970    5         328.08      325.16     
 1970    6         327.67      325.46     
 1970    7         326.34      325.63     
 1970    8         324.69      325.99     
 1970    9         323.10      326.10     
 1970   10         323.06      326.18     
 1970   11         324.01      325.95     
 1970   12         325.13      325.93     
 1971    1         326.17      326.14     
 1971    2         326.68      326.03     
 1971    3         327.17      325.85     
 1971    4         327.79      325.38     
 1971    5         328.93      326.00     
 1971    6         328.57      326.36     
 1971    7         327.36      326.65     
 1971    8         325.43      326.74     
 1971    9         323.36      326.37     
 1971   10         323.56      326.69     
 1971   11         324.80      326.75     
 1971   12         326.01      326.82     
 1972    1         326.77      326.73     
 1972    2         327.63      326.98     
 1972    3         327.75      326.39     
 1972    4         329.72      327.29     
 1972    5         330.07      327.14     
 1972    6         329.09      326.88     
 1972    7         328.04      327.36     
 1972    8         326.32      327.67     
 1972    9         324.84      327.87     
 1972   10         325.20      328.33     
 1972   11         326.50      328.45     
 1972   12         327.55      328.36     
 1973    1         328.55      328.51     
 1973    2         329.56      328.91     
 1973    3         330.30      328.96     
 1973    4         331.50      329.08     
 1973    5         332.48      329.54     
 1973    6         332.07      329.84     
 1973    7         330.87      330.15     
 1973    8         329.31      330.63     
 1973    9         327.51      330.55     
 1973   10         327.18      330.32     
 1973   11         328.16      330.13     
 1973   12         328.64      329.45     
 1974    1         329.35      329.32     
 1974    2         330.71      330.05     
 1974    3         331.48      330.14     
 1974    4         332.65      330.22     
 1974    5         333.19      330.21     
 1974    6         332.16      329.75     
 1974    7         331.07      330.23     
 1974    8         329.12      330.51     
 1974    9         327.32      330.42     
 1974   10         327.28      330.53     
 1974   11         328.30      330.50     
 1974   12         329.58      330.55     
 1975    1         330.73      330.84     
 1975    2         331.46      330.85     
 1975    3         331.90      330.31     
 1975    4         333.17      330.57     
 1975    5         333.94      330.96     
 1975    6         333.45      331.04     
 1975    7         331.97      331.13     
 1975    8         329.95      331.34     
 1975    9         328.50      331.60     
 1975   10         328.35      331.60     
 1975   11         329.37      331.57     
 1975   12         330.64      331.61     
 1976    2         332.75      332.13     
 1976    3         333.52      331.94     
 1976    4         334.64      332.05     
 1976    5         334.77      331.79     
 1976    6         334.00      331.58     
 1976    7         333.06      332.22     
 1976    8         330.68      332.07     
 1976    9         328.95      332.05     
 1976   10         328.75      332.01     
 1976   11         330.15      332.35     
 1976   12         331.62      332.60     
 1977    1         332.66      332.74     
 1977    2         333.13      332.54     
 1977    3         334.95      333.38     
 1977    4         336.13      333.51     
 1977    5         336.93      333.98     
 1977    6         336.17      333.80     
 1977    7         334.88      334.01     
 1977    8         332.56      333.91     
 1977    9         331.29      334.35     
 1977   10         331.27      334.51     
 1977   11         332.41      334.64     
 1977   12         333.60      334.59     
 1978    1         334.95      335.01     
 1978    2         335.25      334.58     
 1978    3         336.66      335.00     
 1978    4         337.69      335.06     
 1978    5         338.03      335.07     
 1978    6         338.01      335.60     
 1978    7         336.40      335.57     
 1978    8         334.42      335.87     
 1978    9         332.37      335.51     
 1978   10         332.41      335.68     
 1978   11         333.75      335.99     
 1978   12         334.90      335.87     
 1979    1         336.14      336.22     
 1979    2         336.68      335.99     
 1979    3         338.27      336.54     
 1979    4         338.95      336.24     
 1979    5         339.21      336.21     
 1979    6         339.26      336.84     
 1979    7         337.54      336.72     
 1979    8         335.75      337.24     
 1979    9         333.98      337.20     
 1979   10         334.19      337.53     
 1979   11         335.31      337.57     
 1979   12         336.81      337.79     
 1980    1         337.90      338.09     
 1980    2         338.34      337.83     
 1980    3         340.01      338.43     
 1980    4         340.93      338.30     
 1980    5         341.48      338.43     
 1980    6         341.32      338.83     
 1980    7         339.40      338.54     
 1980    8         337.70      339.12     
 1980    9         336.19      339.33     
 1980   10         336.15      339.42     
 1980   11         337.27      339.42     
 1980   12         338.32      339.26     
 1981    1         339.29      339.38     
 1981    2         340.55      339.94     
 1981    3         341.61      340.06     
 1981    4         342.53      339.93     
 1981    5         343.03      339.98     
 1981    6         342.54      340.07     
 1981    7         340.78      339.92     
 1981    8         338.44      339.86     
 1981    9         336.95      340.17     
 1981   10         337.08      340.43     
 1981   11         338.58      340.74     
 1981   12         339.88      340.79     
 1982    1         340.96      341.09     
 1982    2         341.73      341.11     
 1982    3         342.81      341.20     
 1982    4         343.97      341.36     
 1982    5         344.63      341.55     
 1982    6         343.79      341.35     
 1982    7         342.32      341.54     
 1982    8         340.09      341.51     
 1982    9         338.28      341.47     
 1982   10         338.29      341.65     
 1982   11         339.60      341.73     
 1982   12         340.90      341.79     
 1983    1         341.68      341.84     
 1983    2         342.90      342.33     
 1983    3         343.33      341.81     
